,accuracy,precision,recall,f1
Fold 1,0.8928571428571429,0.9705882352941176,0.868421052631579,0.9166666666666666
Fold 2,0.9107142857142857,1.0,0.868421052631579,0.9295774647887324
Fold 3,0.8928571428571429,0.9444444444444444,0.8947368421052632,0.918918918918919
Fold 4,0.7857142857142857,0.8823529411764706,0.7894736842105263,0.8333333333333334
Fold 5,1.0,1.0,1.0,1.0
